Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
Ride or Die,2021,71,66,Mystery and thriller/Romance,NR,2h 22m,https://www.rottentomatoes.com/m/ride_or_die,https://resizing.flixster.com/6Gg200mEugufjrkNUK1xSLbGUls=/206x305/v2/https://resizing.flixster.com/BWjcfGtbdCWRy7VnJoM09nqL0PQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzU3MzU1MGM4LTUxNjgtNDJlYS1iZTVhLWVjYzRhYjYyMjEzOC5qcGc=
The Yin-Yang Master: Dream of Eternity,2021,29,85,Action/Adventure,NR,2h 12m,https://www.rottentomatoes.com/m/the_yin_yang_master_dream_of_eternity,https://resizing.flixster.com/JMSLM2DtxtWJi3uqQU51OoDLcXA=/206x305/v2/https://resizing.flixster.com/x4cRWNFTxdtTbbvN10kfOGu5xfY=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2IyNjdkZWQ1LTMzOWItNGIyNS04ZmY2LWUyOGZhM2JlMzEyNC5qcGc=
Ajeeb Daastaans,2021,100,50,Romance/Drama,NR,2h 22m,https://www.rottentomatoes.com/m/ajeeb_daastaans,https://resizing.flixster.com/rOvIidfWZWXSyIQvMfERu1d7v84=/206x305/v2/https://resizing.flixster.com/lDCguLBueOTrk-gh2BTcTlZpras=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2QzYjZlMWNhLTQ2YzktNDRhNC04MDUzLWYxMjA1YjZkZDk4MC5qcGc=
Arlo the Alligator Boy,2021,82,85,Comedy/Animation,NR,1h 30m,https://www.rottentomatoes.com/m/arlo_the_alligator_boy,https://resizing.flixster.com/3S8l18PT0oXX_O0l8nVaC1Egrm4=/206x305/v2/https://flxt.tmsimg.com/assets/p19677863_p_v13_aa.jpg
Barbie in Princess Power,2015,NR,68,Kids and family/Adventure,NR,1h 14m,https://www.rottentomatoes.com/m/barbie_in_princess_power_2015,https://resizing.flixster.com/1IOaCROBiajy1FSjI6ZVezCCqq8=/206x305/v2/https://flxt.tmsimg.com/assets/p11483370_p_v10_ae.jpg
Barbie and the Secret Door,2014,NR,78,Kids and family/Adventure,NR,1h 21m,https://www.rottentomatoes.com/m/barbie_and_the_secret_door,https://resizing.flixster.com/FatPDsArw2qtbo3tcAIHzbDX1zo=/206x305/v2/https://flxt.tmsimg.com/assets/p10963026_p_v10_af.jpg
Barbie & Her Sisters in a Pony Tale,2013,NR,79,Kids and family/Animation,NR,1h 15m,https://www.rottentomatoes.com/m/barbie_and_her_sisters_in_a_pony_tale_2013,https://resizing.flixster.com/S6lZryUQnzenRpnVxKFkbqQt_Uw=/206x305/v2/https://flxt.tmsimg.com/assets/p10214058_p_v10_af.jpg
Barbie Mariposa & the Fairy Princess,2013,NR,82,Kids and family/Animation,NR,1h 20m,https://www.rottentomatoes.com/m/barbie_mariposa_and_the_fairy_princess_2013,https://resizing.flixster.com/7B115iG3sJaFvAVo8oAq0aGlZbI=/206x305/v2/https://flxt.tmsimg.com/assets/p10123303_p_v13_ac.jpg
Barbie in the Pink Shoes,2013,NR,67,Animation/Fantasy,NR,1h 15m,https://www.rottentomatoes.com/m/barbie_in_the_pink_shoes,https://resizing.flixster.com/3i0NDO4CLI1ApC_T6HzS1-I3NbM=/206x305/v2/https://flxt.tmsimg.com/assets/p9737472_p_v10_aa.jpg
Barbie in a Mermaid Tale 2,2012,NR,78,Kids and family/Adventure,NR,1h 14m,https://www.rottentomatoes.com/m/barbie_in_a_mermaid_tale_2_2012,https://resizing.flixster.com/XgJvkV_zEZuGoXUpQ3vrluYbLZQ=/206x305/v2/https://flxt.tmsimg.com/assets/p9054180_p_v10_ar.jpg
Barbie Mariposa,2008,NR,72,Kids and family/Animation,NR,1h 15m,https://www.rottentomatoes.com/m/barbie_mariposa_and_her_butterfly_fairy_friends,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Barbie and the Three Musketeers,2009,NR,64,Kids and family/Adventure,NR,1h 21m,https://www.rottentomatoes.com/m/barbie-and-the-three-musketeers,https://resizing.flixster.com/gU5nMczjs-m3P7BpM5yMrcWtBfo=/206x305/v2/https://flxt.tmsimg.com/assets/p7833809_p_v10_ae.jpg
Barbie in A Christmas Carol,2008,NR,67,Kids and family/Animation,NR,1h 16m,https://www.rottentomatoes.com/m/barbie_in_a_christmas_carol,https://resizing.flixster.com/WwFvGNT7ukwzC98rFuDccRBbzS0=/206x305/v2/https://flxt.tmsimg.com/assets/p191219_p_v10_ae.jpg
Barbie and the Diamond Castle,2008,NR,76,Animation/Adventure,NR,1h 18m,https://www.rottentomatoes.com/m/barbie_and_the_diamond_castle,https://resizing.flixster.com/ImhQ9DP6n9jHZUELM7UA8BnYmrE=/206x305/v2/https://flxt.tmsimg.com/assets/p188896_p_v10_ab.jpg
Barbie as the Island Princess,2007,NR,73,Animation/Adventure,NR,1h 26m,https://www.rottentomatoes.com/m/barbie-as-the-island-princess,https://resizing.flixster.com/-lohLb-GV0t3eY5SZvbyiCoEeog=/206x305/v2/https://flxt.tmsimg.com/assets/p173268_p_v10_ag.jpg
The Barbie Diaries,2006,NR,72,Kids and family/Adventure,NR,1h 10m,https://www.rottentomatoes.com/m/barbie-diaries,https://resizing.flixster.com/nC87S-APan8Bhu7IKk56JfRi1dQ=/206x305/v2/https://flxt.tmsimg.com/assets/p161912_p_v10_ab.jpg
Barbie: Mermaidia,2006,NR,69,Kids and family/Animation,NR,1h 25m,https://www.rottentomatoes.com/m/barbie-mermaidia,https://resizing.flixster.com/AJ1UcSQSC9_zPo28R7Z1nXkRnb0=/206x305/v2/https://flxt.tmsimg.com/assets/p161772_p_v8_aa.jpg
Barbie in the Nutcracker,2001,20,59,Kids and family/Animation,NR,1h 16m,https://www.rottentomatoes.com/m/barbie-in-the-nutcracker,https://resizing.flixster.com/D_8jzlf0WbUbUDSvZxgsxt2Q5Cs=/206x305/v2/https://flxt.tmsimg.com/assets/p8554197_p_v10_ad.jpg
Barbie as the Princess and the Pauper,2004,NR,75,Kids and family/Fantasy,NR,1h 25m,https://www.rottentomatoes.com/m/barbie_as_the_princess_and_the_pauper,https://resizing.flixster.com/DDpEYvfzENOgwmnTJucGmoEJ4Gk=/206x305/v2/https://flxt.tmsimg.com/assets/p153706_p_v10_at.jpg
